Bitcoin,"$31,416.80",-5.25%,-18.25%,$598.05B
Ethereum,"$2,380.05",-1.31%,-15.89%,$287.32B
Tether,$0.9999,-0.01%,,$83.16B
BNB,$321.33,-4.51%,-17.05%,$52.47B
USD Coin,$1.00,,,$48.44B
XRP,$0.5178,-3.50%,-15.85%,$25.03B
Solana,$69.44,-4.30%,-20.71%,$23.37B
Cardano,$0.672,-14.39%,,$22.68B
Binance USD,$1.00,,,$17.35B
TerraUSD,$0.904,-9.22%,-9.72%,$16.31B
Dogecoin,$0.11,,,
Avalanche,$47.25,,,
Polkadot,$11.71,,,
Terra,$29.52,,,
Shiba Inu,$0.00,,,
Wrapped Bitcoin,$31555.63,,,
TRON,$0.08,,,
Dai,$1.00,,,
Polygon,$0.93,,,
NEAR Protocol,$10.27,,,
Cronos,$0.23,,,
Litecoin,$81.41,,,
UNUS SED LEO,$5.25,,,
FTX Token,$33.89,,,
Bitcoin Cash,$235.37,,,
Uniswap,$6.47,,,
Algorand,$0.63,,,
Chainlink,$8.93,,,
Cosmos,$14.50,,,
Stellar,$0.15,,,
Monero,$181.51,,,
Ethereum Classic,$24.36,,,
VeChain,$0.04,,,
Internet Computer,$11.15,,,
ApeCoin,$8.95,,,
Elrond,$114.64,,,
Hedera,$0.12,,,
Filecoin,$11.64,,,
The Sandbox,$1.83,,,
Decentraland,$1.17,,,
Tezos,$2.19,,,
Theta Network,$1.85,,,
PancakeSwap,$6.06,,,
EOS,$1.75,,,
THORChain,$5.02,,,
Axie Infinity,$26.70,,,
Aave,$112.09,,,
Fantom,$0.58,,,
KuCoin Token,$14.85,,,
Helium,$12.43,,,
Klaytn,$0.51,,,
Zcash,$99.52,,,
Waves,$12.94,,,
BitTorrent-New,$0.00,,,
Flow,$3.73,,,
TrueUSD,$1.00,,,
Huobi Token,$8.17,,,
Convex Finance,$20.50,,,
Bitcoin SV,$63.81,,,
The Graph,$0.25,,,
Maker,$1223.64,,,
IOTA,$0.42,,,
STEPN,$1.95,,,
eCash,$0.00,,,
Neo,$14.39,,,
Nexo,$1.73,,,
Pax Dollar,$1.00,,,
Curve DAO Token,$2.04,,,
Quant,$76.87,,,
Zilliqa,$0.07,,,
Celo,$2.06,,,
Neutrino USD,$0.95,,,
Stacks,$0.68,,,
Chiliz,$0.15,,,
OKB,$14.64,,,
Kusama,$99.55,,,
Dash,$76.70,,,
Gala,$0.12,,,
Loopring,$0.60,,,
Harmony,$0.07,,,
Mina,$1.53,,,
Enjin Coin,$0.85,,,
Basic Attention Token,$0.49,,,
XDC Network,$0.06,,,
Gnosis,$257.91,,,
Arweave,$19.28,,,
Lido DAO,$2.04,,,
Holo,$0.00,,,
Compound,$90.01,,,
PAX Gold,$1855.97,,,
Decred,$42.66,,,
Amp,$0.01,,,
NEM,$0.06,,,
ICON,$0.60,,,
Kava,$2.89,,,
Theta Fuel,$0.10,,,
yearn.finance,$14232.32,,,
Qtum,$4.91,,,
Symbol,$0.09,,,
Moonbeam,$1.88,,,
Audius,$0.6629,-3.79%,-22.20%,$472.90M
Secret,$2.90,-4.06%,-24.08%,$472.81M
Oasis Network,$0.1333,-4.49%,-22.50%,$465.76M
Kadena,$2.72,-9.55%,-29.75%,$465.55M
GateToken,$5.93,-2.05%,-5.21%,$464.42M
0x,$0.54,-3.97%,-22.64%,$457.64M
1inch Network,$1.09,-14.75%,-8.18%,$454.34M
OMG Network,$3.24,-0.89%,-16.65%,$454.13M
Bancor,$1.67,-3.39%,-16.09%,$449.57M
Livepeer,$18.79,-2.32%,-20.67%,$446.69M
Fei USD,$0.99,,,
IoTeX,$0.04,,,
Synthetix,$3.61,,,
SKALE Network,$0.12,,,
Bitcoin Gold,$23.47,,,
JUST,$0.06,,,
Ankr,$0.05,,,
Dogelon Mars,$0.00,,,
Serum,$1.51,,,
Kyber Network Crystal v2,$2.18,,,
BORA,$0.45,,,
Ravencoin,$0.04,,,
Celsius,$1.56,,,
IOST,$0.02,,,
SXP,$0.72,,,
Ontology,$0.38,,,
SwissBorg,$0.33,,,
Siacoin,$0.01,,,
Horizen,$26.35,,,
Velas,$0.14,,,
Ethereum Name Service,$15.32,,,
Acala Token,$0.75,,,
WAX,$0.15,,,
Braintrust,$3.37,,,
APENFT,$0.00,,,
Render Token,$1.19,,,
Frax Share,$18.55,,,
Immutable X,$1.26,,,
Anchor Protocol,$0.86,,,
UMA,$4.43,,,
Golem,$0.28,,,
WOO Network,$0.27,,,
Voyager Token,$1.01,,,
Rally,$0.10,,,
Storj,$0.68,,,
Hive,$0.62,,,
Illuvium,$392.50,,,
Nervos Network,$0.01,,,
renBTC,$31830.40,,,
SushiSwap,$1.90,,,
Casper,$0.05,,,
Polymath,$0.27,,,
DigiByte,$0.02,,,
Flux,$0.99,,,
Ren,$0.23,,,
Keep Network,$0.31,,,
Trust Wallet Token,$0.78,,,
Spell Token,$0.00,,,
MXC,$0.08,,,
Persistence,$2.09,,,
CEEK VR,$0.26,,,
PlayDapp,$0.56,,,
WINkLink,$0.00,,,
dYdX,$3.03,,,
Telcoin,$0.00,,,
Gemini Dollar,$1.00,,,
Conflux,$0.11,,,
Ocean Protocol,$0.31,,,
Nano,$1.43,,,
Injective,$3.29,,,
Lisk,$1.43,,,
DAO Maker,$2.62,,,
DigitalBits,$0.19,,,
MX TOKEN,$1.82,,,
Syscoin,$0.28,,,
Chia,$45.77,,,
Dent,$0.00,,,
Celer Network,$0.03,,,
MediBloc,$0.03,,,
Raydium,$1.67,,,
COTI,$0.17,,,
Constellation,$0.14,,,
NuCypher,$0.24,,,
Revain,$0.00,,,
Vulcan Forged PYR,$6.95,,,
Coin98,$0.88,,,
Mines of Dalarnia,$0.78,,,
Chromia,$0.28,,,
Request,$0.16,,,
Fetch.ai,$0.21,,,
Orbs,$0.05,,,
Powerledger,$0.32,,,
Pundi X (New),$0.59,,,
ConstitutionDAO,$0.03,,,
Locus Chain,$0.17,,,
JOE,$0.66,,,
WazirX,$0.39,,,
Perpetual Protocol,$1.94,,,
Ontology Gas,$0.48,,,
Tribe,$0.33,,,
HEX,$0.1549,-5.26%,-12.80%,$26.85B
Lido Staked ETH,"$2,364.38",-1.48%,-16.31%,$8.25B
Wrapped TRON,$0.07864,-7.33%,,$8.00B
yOUcash,$0.5009,-0.06%,,$4.22B
Bitcoin BEP2,"$31,499.94",-5.12%,-18.16%,$3.31B
Frax,$0.9968,-0.12%,,$2.63B
Toncoin,$1.79,-4.82%,-2.49%,$2.19B
DeFiChain,$3.69,-6.32%,-13.58%,$1.89B
Wrapped BNB,$321.00,-4.78%,-17.09%,$1.76B
BitTorrent,$0.001506,-9.86%,-13.87%,$1.49B
Chain,$0.07,,,
Huobi BTC,$31463.22,,,
Osmosis,$2.91,,,
Liquity USD,$1.00,,,
Safe,$34.42,,,
Counos X,$32.87,,,
BitDAO,$0.92,,,
Threshold,$0.06,,,
NXM,$80.57,,,
LINK,$80.51,,,
LooksRare,$1.10,,,
Tether Gold,$1854.13,,,
The Transfer Token,$3.80,,,
HUSD,$1.00,,,
Astar,$0.11,,,
KOK,$3.08,,,
Everscale,$0.26,,,
Wrapped Velas,$0.14,,,
Sapphire,$0.52,,,
Rocket Pool,$27.14,,,
Fruits,$0.01,,,
Project Galaxy,$7.35,,,
Bitpanda Ecosystem Token,$0.73,,,
USDD,$1.00,,,
RadioCaca,$0.00,,,
WEMIX,$1.96,,,
SafeMoon,$0.00,,,
Pirate Chain,$1.20,,,
WhiteCoin,$0.31,,,
BinaryX,$110.03,,,
VVS Finance,$0.00,,,
Anyswap,$10.11,,,
MobileCoin,$2.47,,,
Biswap,$0.83,,,
Humanscape,$0.24,,,
MVL,$0.01,,,
Chainbing,$4.83,,,
TitanSwap,$2.87,,,
Decentralized Social,$17.22,,,
inSure DeFi,$0.01,,,
XSGD,$0.71,,,
USDX [Kava],$0.92,,,
Aurora,$6.19,,,
Sologenic,$0.36,,,
XYO,$0.01,,,
Maple,$32.41,,,
Status,$0.04,,,
1eco,$5.34,,,
Telos,$0.52,,,
Function X,$0.34,,,
Divi,$0.05,,,
Ardor,$0.14,,,
SifChain,$0.11,,,
Civic,$0.20,,,
Ultra,$0.47,,,
Steem,$0.34,,,
Bitcoin Standard Hashrate Token,$11.63,,,
Bifrost (BFC),$0.12,,,
STASIS EURO,$1.05,,,
AVINOC,$0.34,,,
sUSD,$1.00,,,
SuperFarm,$0.32,,,
HedgeTrade,$0.37,,,
Hxro,$0.30,,,
Cartesi,$0.22,,,
MyNeighborAlice,$3.98,,,
Moonriver,$29.92,,,
Dero,$9.65,,,
Mdex,$0.14,,,
Origin Protocol,$0.31,,,
MOBOX,$1.50,,,
Rari Governance Token,$9.54,,,
LUKSO,$7.75,,,
Ellipsis,$0.16,,,
Sun (New),$0.01,,,
MetisDAO,$37.60,,,
OriginTrail,$0.32,,,
Creditcoin,$0.56,,,
VeThor Token,$0.00,,,
StormX,$0.01,,,
Hyperion,$0.55,,,
Reef,$0.01,,,
Propy,$1.47,,,
Metahero,$0.02,,,
MaidSafeCoin,$0.24,,,
Orchid,$0.16,,,
Verge,$0.01,,,
Energy Web Token,$3.59,,,
ASD,$0.16,,,
Orbit Chain,$0.18,,,
FUNToken,$0.009724,-2.45%,-5.76%,$106.74M
Boba Network,$0.665,-0.54%,-26.38%,$105.70M
Alpha Venture DAO,$0.2326,-2.57%,-16.94%,$103.80M
Reserve Rights,$0.006981,-6.53%,-21.84%,$103.33M
Augur,$9.39,-5.87%,-20.38%,$103.25M
ssv.network,$10.29,-4.51%,,$102.92M
Venus USDC,$0.0215,,,$102.59M
Aragon,$2.57,-8.27%,-23.45%,$101.98M
Rakon,$0.4184,-17.86%,,$101.61M
Yield Guild Games,$0.8844,-13.90%,-37.16%,$100.99M
RSK Smart Bitcoin,$31420.34,,,
aelf,$0.18,,,
Aavegotchi,$1.74,,,
Dawn Protocol,$1.35,,,
Numeraire,$16.83,,,
iExec RLC,$1.23,,,
Sperax,$0.13,,,
Bridge Oracle,$0.01,,,
Stratis,$0.71,,,
Metal,$1.45,,,
Wirex Token,$0.01,,,
Biconomy,$0.78,,,
Metadium,$0.06,,,
Prometeus,$5.78,,,
UFO Gaming,$0.00,,,
NKN,$0.14,,,
Ampleforth,$1.10,,,
Hoo Token,$1.14,,,
Liquity,$1.33,,,
Origin Dollar,$1.00,,,
Sport and Leisure,$0.14,,,
Standard Tokenization Protocol,$0.06,,,
API3,$2.52,,,
Ergo,$2.87,,,
Adshares,$3.50,,,
CENNZnet,$0.08,,,
SOMESING,$0.03,,,
QuarkChain,$0.01,,,
Mask Network,$3.06,,,
Strike,$27.97,,,
Bloktopia,$0.01,,,
RSK Infrastructure Framework,$0.10,,,
SingularityNET,$0.08,,,
Mango,$0.09,,,
Radicle,$2.81,,,
Alchemy Pay,$0.02,,,
Ark,$0.62,,,
BakeryToken,$0.44,,,
MovieBloc,$0.01,,,
Band Protocol,$2.35,,,
Klever,$0.02,,,
Enzyme,$39.24,,,
Electroneum,$0.00,,,
Polkastarter,$0.87,,,
World Mobile Token,$0.33,,,
Proton,$0.01,,,
e-Radix,$0.11,,,
Balancer,$11.15,,,
Utrust,$0.16,,,
DeversiFi,$3.19,,,
Akash Network,$0.67,,,
Ampleforth Governance Token,$4.86,,,
Badger DAO,$5.92,,,
ABBC Coin,$0.07,,,
Dvision Network,$0.21,,,
JasmyCoin,$0.02,,,
Everipedia,$0.01,,,
Beta Finance,$0.18,,,
KardiaChain,$0.02,,,
Cratos,$0.00,,,
TomoChain,$0.79,,,
DEAPcoin,$0.01,,,
Dusk Network,$0.18,,,
XCAD Network,$2.91,,,
Qredo,$1.07,,,
STAKE,$8.35,,,
YooShi,$0.00,,,
GensoKishi Metaverse,$0.88,,,
Shiba Predator,$0.00,,,
Haven Protocol,$2.87,,,
dKargo,$0.07,,,
cVault.finance,$6820.67,,,
PlatON,$0.03,,,
Veritaseum,$31.46,,,
CertiK,$0.92,,,
TrueFi,$0.12,,,
DeFi Pulse Index,$120.05,,,
Freeway Token,$0.01,,,
Celo Dollar,$0.99,,,
Ankr Reward Bearing Staked ETH,$2267.74,,,
Venus,$5.46,,,
Shapeshift FOX Token,$0.21,,,
HUNT,$0.59,,,
Starlink,$0.00,,,
NEST Protocol,$0.03,,,
GlitzKoin,$0.26,,,
GXChain,$0.85,,,
Orion Protocol,$1.87,,,
Aurory,$6.60,,,
Neutrino Token,$24.13,,,
ThunderCore,$0.006867,-4.48%,-23.54%,$62.42M
AIOZ Network,$0.1126,-9.78%,-24.89%,$62.32M
LCX,$0.08164,-10.20%,-21.89%,$61.81M
Loom Network,$0.06154,-3.91%,-18.74%,$61.54M
RMRK,$6.48,-11.71%,-26.87%,$61.55M
Hathor,$0.2664,-6.68%,-27.28%,$61.44M
SafePal,$0.565,-1.68%,-12.57%,$61.11M
Alchemix,$47.46,-4.13%,-26.58%,$60.99M
Unibright,$0.4064,-2.53%,-25.39%,$60.96M
ONUS,$0.6191,-2.27%,-5.69%,$60.65M
Beefy Finance,$832.13,,,
ZB Token,$0.13,,,
League of Kingdoms Arena,$2.34,,,
IDEX,$0.09,,,
OpenDAO,$0.00,,,
Venus BUSD,$0.02,,,
Aergo,$0.16,,,
Splintershards,$0.08,,,
Merit Circle,$1.36,,,
Chimpion,$1.82,,,
Uquid Coin,$5.77,,,
ZEON,$0.00,,,
Decentral Games,$0.11,,,
Wanchain,$0.30,,,
Mirror Protocol,$0.74,,,
Centrifuge,$0.24,,,
PlatonCoin,$0.50,,,
PEAKDEFI,$0.04,,,
Marlin,$0.01,,,
LTO Network,$0.15,,,
Covalent,$0.22,,,
CLV,$0.21,,,
Syntropy,$0.10,,,
Adventure Gold,$0.78,,,
Alien Worlds,$0.06,,,
Hifi Finance,$0.01,,,
Darma Cash,$0.25,,,
ARPA Chain,$0.04,,,
HI,$0.11,,,
Handshake,$0.11,,,
Carry,$0.01,,,
Voxies,$0.83,,,
Qcash,$0.12,,,
Alitas,$0.89,,,
Vai,$0.93,,,
Aleph.im,$0.26,,,
Efforce,$0.10,,,
Gitcoin,$3.73,,,
Phala Network,$0.19,,,
Toko Token,$0.49,,,
MimbleWimbleCoin,$4.84,,,
Seedify.fund,$2.12,,,
Travala.com,$1.01,,,
Elitium,$1.85,,,
Alpaca Finance,$0.36,,,
SpookySwap,$5.37,,,
Smooth Love Potion,$0.01,,,
CONUN,$0.02,,,
Linear Finance,$0.01,,,
GMT Token,$0.19,,,
Vectorspace AI,$1.23,,,
KeeperDAO,$78.61,,,
BitShares,$0.02,,,
EverRise,$0.00,,,
MonaCoin,$0.73,,,
AXEL,$0.17,,,
Komodo,$0.37,,,
Alpha Quark Token,$1.84,,,
Efinity Token,$0.28,,,
Verasity,$0.01,,,
bZx Protocol,$0.11,,,
Tornado Cash,$42.76,,,
MiL.k,$0.60,,,
Keep3rV1,$232.64,,,
DFI.Money,$1204.24,,,
Moss Coin,$0.13,,,
BitMart Token,$0.27,,,
TROY,$0.01,,,
Rai Reflex Index,$3.01,,,
Genopets,$12.30,,,
TrustSwap,$0.46,,,
Terra Virtua Kolect,$0.06,,,
DerivaDAO,$1.73,,,
Elastos,$2.22,,,
Nestree,$0.02,,,
KILT Protocol,$0.91,,,
Cobak Token,$1.47,,,
Victoria VR,$0.06,,,
Boson Protocol,$0.55,,,
VerusCoin,$0.64,,,
Sentinel Protocol,$0.09,,,
Tokenlon Network Token,$0.98,,,
Wilder World,$0.51,,,
Hydra,$5.01,,,
FLETA,$0.02,,,
Harvest Finance,$63.68,,,
Kava Swap,$1.26,,,
RIZON,$0.02,,,
Velo,$0.03,,,
Cocos-BCX,$1.00,,,
